,Date,User,Tweet
82,2023-02-23 14:49:58+00:00,TimesNow,"#KhalistanFreeRun

Necessary action will be taken against Amritpal Singh: @ZariwalaHuda

'#AmritpalSingh for long has been talking about Khalistan. Govt is not acting. Why? Are you nursing your vote bank more than your country?'- @RShivshankar confronts.

#IndiaUpfront https://t.co/9si93HZa6w"
83,2023-02-23 14:45:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/ymvmtZ6EQI"
84,2023-02-23 14:41:29+00:00,TimesNow,"#KhalistanFreeRun

#EXCLUSIVE | Sufficient evidence has been presented that the person (a close aide of Amritpal Singh), whom we have arrested was not present on the spot. S.I.T will also be formed to probe the case: SSP, Amritsar speaks to @Gurpreet_Chhina

@RShivshankar https://t.co/9eLBudtKEY"
85,2023-02-23 14:40:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/xoLSEsU13m"
86,2023-02-23 14:35:32+00:00,TimesNow,"#KhalistanFreeRun

Punjab police 'surrenders' to Amritpal Singh's demand of releasing his close aide after Singh's supporters throughout the day today, ran amok on the streets of Amritsar.

Supporters were armed with swords &amp; even attacked cops.

@RShivshankar | #IndiaUpfront https://t.co/Lw0DfwJ0Cv"
87,2023-02-23 14:35:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/wRT7NPppdz"
88,2023-02-23 14:33:34+00:00,TimesNow,"#KhalistanFreeRun

This Has Never Ever Happened Before, Separatists Walk Upto Police Station

Force State To Free Amritpal’s ‘Aide’

State Sarkar’s Cowardice Shocks

Khalistanis Are Now The Law In Punjab

Can We Allow This #KhalistanFreeRun?

#IndiaUpfront | @RShivshankar https://t.co/jPy7daBmlS"
89,2023-02-23 14:30:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/vM94Z0Rm7V"
90,2023-02-23 14:27:55+00:00,TimesNow,"Activists Poured Paint In Colours Of Ukrainian Flag Near Russian Embassy, Four Detained.

#TNShorts https://t.co/cD7JeuQPhH"
91,2023-02-23 14:27:11+00:00,TimesNow,"#SorryAfterInsult

Unconditional Apology After Insult 

Khera Admits 'Inadvertent Error'... After First And Detention

Cong Claims Death Of Democracy

Saying Sorry For Damage Control?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/1YFP7hoESi"
92,2023-02-23 14:25:00+00:00,TimesNow,"#KhalistanFreeRun

This Has Never Ever Happened Before, Separatists Walk Upto Police Station

Force State To Free Amritpal’s ‘Aide’

State Sarkar’s Cowardice Shocks

Khalistanis Are Now The Law In Punjab

Can We Allow This #KhalistanFreeRun?

#IndiaUpfront with @RShivshankar @ 8 https://t.co/Q3PLwL1OvU"
93,2023-02-23 14:25:00+00:00,TimesNow,"Taarak Mehta Ka Ooltah Chashmah completes 3700 episodes.

https://t.co/NDSau2VnuC"
94,2023-02-23 14:20:00+00:00,TimesNow,"Mahua Moitra takes aim at Rahul Gandhi over 'Trinamool is #BJP's B team' comment - Here's what TMC MP said.

https://t.co/Gg4jxXg4t9"
95,2023-02-23 14:20:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/5bjSbSA7d2"
